,Compound ID,measured log(solubility:mol/L),ESOL predicted log(solubility:mol/L),SMILES
898,o-Fluorobromobenzene,-2.7,-3.467,Fc1ccccc1Br
899,2-Butoxyethanol,-0.42,-0.775,CCCCOCCO
900,3-Methyl-2-pentanone,-0.67,-1.266,CCC(C)C(=O)C
901,Butamben,-3.082,-3.0389999999999997,CCCCOC(=O)c1ccc(N)cc1
902,kebuzone,-3.27,-2.645,CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3
903,"1,3-Dibromobenzene",-3.54,-4.298,Brc1cccc(Br)c1
904,karbutilate,-2.93,-2.655,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1 
905,2-Methyl-3-pentanol,-0.7,-1.308,CCC(O)C(C)C
906,Ethion,-5.54,-5.471,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
907,"1,3,5-Trinitrobenzene",-2.89,-2.324,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
908,1-Hexyne ,-2.36,-1.801,CCCCC#C
909,Thiram,-3.9,-2.444,CN(C)C(=S)SSC(=S)N(C)C 
910,"1,4-Cyclohexadiene",-2.06,-1.8419999999999999,C1C=CCC=C1
911,nicotinamide,0.61,-0.9640000000000001,NC(=O)c1cccnc1 
912,5-hydroxyquinoline,-2.54,-2.725,Oc1cccc2ncccc12 
913,1-Bromohexane,-3.81,-3.012,CCCCCCBr
914,triamcinolone diacetate,-4.13,-3.8760000000000003,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O 
